Config: 
--------------------------------------------
leader L0 of team T0 discovered at 25361.000000 that M4 is in danger (after 3229ms proces-to-process, 165ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 33176.000000 that M7 is in danger (after 3353ms proces-to-process, 1644ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 24240.000000 that M6 is in danger (after 1769ms proces-to-process, 229ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 25671.000000 that M1 is in danger (after 827ms proces-to-process, 19ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 22026.000000 that M0 is in danger (after 1388ms proces-to-process, 297ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L0 of team T0 discovered at 23509.000000 that M3 is in danger (after 4746ms proces-to-process, 3135ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L0 of team T0 discovered at 30730.000000 that M2 is in danger (after 3300ms proces-to-process, 1212ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 33176.000000 that M9 is in danger (after 2818ms proces-to-process, 1804ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L0 of team T0 discovered at 19212.000000 that M8 is in danger (after 1832ms proces-to-process, 1231ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 33176.000000 that M42 is in danger (after 3325ms proces-to-process, 1636ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L0 of team T0 discovered at 29195.000000 that M43 is in danger (after 8060ms proces-to-process, 4939ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 27456.000000 that M40 is in danger (after 4191ms proces-to-process, 1797ms node-to-node, 11hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 30730.000000 that M41 is in danger (after 3503ms proces-to-process, 2153ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 30441.000000 that M28 is in danger (after 5626ms proces-to-process, 3281ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L0 of team T0 discovered at 25361.000000 that M29 is in danger (after 1289ms proces-to-process, 631ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 34418.000000 that M24 is in danger (after 4207ms proces-to-process, 1057ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L0 of team T0 discovered at 33176.000000 that M25 is in danger (after 5090ms proces-to-process, 2275ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 34418.000000 that M26 is in danger (after 4099ms proces-to-process, 1830ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L0 of team T0 discovered at 26382.000000 that M27 is in danger (after 3556ms proces-to-process, 1670ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L0 of team T0 discovered at 30441.000000 that M20 is in danger (after 2203ms proces-to-process, 387ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 23509.000000 that M21 is in danger (after 5862ms proces-to-process, 4252ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L0 of team T0 never discovered that M22 is in danger from 19990.
leader L0 of team T0 discovered at 28136.000000 that M23 is in danger (after 1409ms proces-to-process, 844ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
