Config: 
--------------------------------------------
leader L1 of team T0 discovered at 17714.000000 that M8 is in danger (after 334ms proces-to-process, 71ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L1 of team T0 discovered at 21637.000000 that M14 is in danger (after 1178ms proces-to-process, 446ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T1 discovered at 29867.000000 that M33 is in danger (after 2211ms proces-to-process, 357ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L2 of team T1 discovered at 31981.000000 that M34 is in danger (after 1657ms proces-to-process, 46ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L2 of team T1 discovered at 27314.000000 that M28 is in danger (after 2499ms proces-to-process, 203ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 25094.000000 that M29 is in danger (after 1022ms proces-to-process, 89ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 25851.000000 that M39 is in danger (after 2258ms proces-to-process, 81ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 26233.000000 that M38 is in danger (after 477ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 33914.000000 that M24 is in danger (after 3703ms proces-to-process, 158ms node-to-node, 3hops, 0versions (15 first, 15 discovered)
leader L2 of team T1 discovered at 31124.000000 that M25 is in danger (after 3038ms proces-to-process, 298ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T1 discovered at 32655.000000 that M26 is in danger (after 2336ms proces-to-process, 188ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T1 discovered at 25094.000000 that M27 is in danger (after 2268ms proces-to-process, 167ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T1 discovered at 31124.000000 that M20 is in danger (after 2886ms proces-to-process, 548ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 23340.000000 that M32 is in danger (after 2234ms proces-to-process, 1077ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L2 of team T1 discovered at 21789.000000 that M22 is in danger (after 1799ms proces-to-process, 433ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T1 discovered at 27651.000000 that M23 is in danger (after 924ms proces-to-process, 287ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L2 of team T1 discovered at 24551.000000 that M37 is in danger (after 1619ms proces-to-process, 77ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L2 of team T1 discovered at 19056.000000 that M31 is in danger (after 1395ms proces-to-process, 138ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L2 of team T1 discovered at 29322.000000 that M30 is in danger (after 942ms proces-to-process, 203ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T1 discovered at 31981.000000 that M35 is in danger (after 4106ms proces-to-process, 333ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 30900.000000 that M33 is in danger (after 3244ms proces-to-process, 671ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L3 of team T1 discovered at 31541.000000 that M34 is in danger (after 1217ms proces-to-process, 161ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L3 of team T1 discovered at 28042.000000 that M28 is in danger (after 3227ms proces-to-process, 655ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 25326.000000 that M29 is in danger (after 1254ms proces-to-process, 206ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L3 of team T1 discovered at 25912.000000 that M39 is in danger (after 2319ms proces-to-process, 349ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 26873.000000 that M38 is in danger (after 1117ms proces-to-process, 647ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T1 discovered at 33545.000000 that M24 is in danger (after 3334ms proces-to-process, 29ms node-to-node, 1hops, 0versions (15 first, 15 discovered)
leader L3 of team T1 discovered at 30900.000000 that M25 is in danger (after 2814ms proces-to-process, 60ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L3 of team T1 discovered at 32793.000000 that M26 is in danger (after 2474ms proces-to-process, 133ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L3 of team T1 discovered at 25326.000000 that M27 is in danger (after 2500ms proces-to-process, 170ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L3 of team T1 discovered at 30900.000000 that M20 is in danger (after 2662ms proces-to-process, 390ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L3 of team T1 discovered at 22731.000000 that M32 is in danger (after 1625ms proces-to-process, 636ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L3 of team T1 discovered at 21884.000000 that M22 is in danger (after 1894ms proces-to-process, 640ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L3 of team T1 discovered at 27481.000000 that M23 is in danger (after 754ms proces-to-process, 7ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L3 of team T1 discovered at 30058.000000 that M37 is in danger (after 7126ms proces-to-process, 5433ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L3 of team T1 discovered at 18947.000000 that M31 is in danger (after 1286ms proces-to-process, 138ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L3 of team T1 discovered at 29664.000000 that M30 is in danger (after 1284ms proces-to-process, 203ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L3 of team T1 discovered at 31541.000000 that M35 is in danger (after 3666ms proces-to-process, 264ms node-to-node, 3hops, 0versions (14 first, 14 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=2209.893333, min=259, max=7126, median=2037
Node-2-node response time: avg=609.613333, min=7, max=5433, median=336
Hops: avg=3.086667, min=1, max=9, median=3
Process-2-process response time / 1 hop: avg=881.933333, min=86, max=3929, median=696
Node-2-node response time / 1 hop: avg=186.180000, min=7, max=1811, median=103
Version difference: avg=0.246667, min=0, max=3, median=0
Ratio of leader discoveries: 150 of 154 (97.402597%)
Ratio of discoveries regardless the number of leaders: 75 of 77 (97.402597%)
